pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
49  82dd  10 fb      BPL $82da   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
50  82da  2c 02 20   BIT $2002   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
51  82dd  10 fb      BPL $82da   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
52  82da  2c 02 20   BIT $2002   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
53  82dd  10 fb      BPL $82da   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
54  82da  2c 02 20   BIT $2002   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
55  82dd  10 fb      BPL $82da   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
56  82da  2c 02 20   BIT $2002   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
57  82dd  10 fb      BPL $82da   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
58  82da  2c 02 20   BIT $2002   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
59  82dd  10 fb      BPL $82da   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
60  82da  2c 02 20   BIT $2002   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
61  82dd  10 fb      BPL $82da   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
